2018-07-27 10:00:52 status half-installed libaudit1:armhf 1:2.6.7-2
2018-07-27 10:00:52 status unpacked libaudit1:armhf 1:2.6.7-2
2018-07-27 10:00:52 status unpacked libaudit1:armhf 1:2.6.7-2
2018-07-27 10:00:52 upgrade base-files:armhf 9.9+deb9u5 9.9+deb9u5
2018-07-27 10:00:52 status half-configured base-files:armhf 9.9+deb9u5
2018-07-27 10:00:52 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:52 status half-installed base-files:armhf 9.9+deb9u5
2018-07-27 10:00:52 status half-installed base-files:armhf 9.9+deb9u5
2018-07-27 10:00:52 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:52 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:53 upgrade base-passwd:armhf 3.5.43 3.5.43
2018-07-27 10:00:53 status half-configured base-passwd:armhf 3.5.43
2018-07-27 10:00:53 status unpacked base-passwd:armhf 3.5.43
2018-07-27 10:00:53 status half-installed base-passwd:armhf 3.5.43
2018-07-27 10:00:53 status half-installed base-passwd:armhf 3.5.43
2018-07-27 10:00:53 status unpacked base-passwd:armhf 3.5.43
2018-07-27 10:00:53 status unpacked base-passwd:armhf 3.5.43
2018-07-27 10:00:53 install bash:armhf <none> 4.4-5
2018-07-27 10:00:53 status half-installed bash:armhf 4.4-5
2018-07-27 10:00:54 status unpacked bash:armhf 4.4-5
2018-07-27 10:00:54 status unpacked bash:armhf 4.4-5
2018-07-27 10:00:55 install libbz2-1.0:armhf <none> 1.0.6-8.1
2018-07-27 10:00:55 status half-installed libbz2-1.0:armhf 1.0.6-8.1
2018-07-27 10:00:55 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2018-07-27 10:00:55 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2018-07-27 10:00:55 install libdebconfclient0:armhf <none> 0.227
2018-07-27 10:00:55 status half-installed libdebconfclient0:armhf 0.227
2018-07-27 10:00:55 status unpacked libdebconfclient0:armhf 0.227
2018-07-27 10:00:55 status unpacked libdebconfclient0:armhf 0.227
2018-07-27 10:00:55 install coreutils:armhf <none> 8.26-3
2018-07-27 10:00:55 status half-installed coreutils:armhf 8.26-3
2018-07-27 10:00:58 status unpacked coreutils:armhf 8.26-3
2018-07-27 10:00:58 status unpacked coreutils:armhf 8.26-3
2018-07-27 10:00:58 install dash:armhf <none> 0.5.8-2.4
2018-07-27 10:00:58 status half-installed dash:armhf 0.5.8-2.4
2018-07-27 10:01:00 status unpacked dash:armhf 0.5.8-2.4
2018-07-27 10:01:00 status unpacked dash:armhf 0.5.8-2.4
2018-07-27 10:01:00 install libdb5.3:armhf <none> 5.3.28-12+deb9u1
2018-07-27 10:01:00 status half-installed libdb5.3:armhf 5.3.28-12+deb9u1
2018-07-27 10:01:01 status unpacked libdb5.3:armhf 5.3.28-12+deb9u1
2018-07-27 10:01:01 status unpacked libdb5.3:armhf 5.3.28-12+deb9u1
2018-07-27 10:01:01 upgrade debconf:all 1.5.61 1.5.61
2018-07-27 10:01:01 status half-configured debconf:all 1.5.61
2018-07-27 10:01:02 status unpacked debconf:all 1.5.61
2018-07-27 10:01:02 status half-installed debconf:all 1.5.61
2018-07-27 10:01:03 status half-installed debconf:all 1.5.61
2018-07-27 10:01:03 status unpacked debconf:all 1.5.61
2018-07-27 10:01:03 status unpacked debconf:all 1.5.61
2018-07-27 10:01:03 install debianutils:armhf <none> 4.8.1.1
2018-07-27 10:01:03 status half-installed debianutils:armhf 4.8.1.1
2018-07-27 10:01:04 status unpacked debianutils:armhf 4.8.1.1
2018-07-27 10:01:04 status unpacked debianutils:armhf 4.8.1.1
2018-07-27 10:01:04 install diffutils:armhf <none> 1:3.5-3
2018-07-27 10:01:04 status half-installed diffutils:armhf 1:3.5-3
2018-07-27 10:01:05 status unpacked diffutils:armhf 1:3.5-3
2018-07-27 10:01:05 status unpacked diffutils:armhf 1:3.5-3
2018-07-27 10:01:05 upgrade dpkg:armhf 1.18.25 1.18.25
2018-07-27 10:01:05 status half-configured dpkg:armhf 1.18.25
2018-07-27 10:01:05 status unpacked dpkg:armhf 1.18.25
2018-07-27 10:01:05 status half-installed dpkg:armhf 1.18.25
2018-07-27 10:01:07 status half-installed dpkg:armhf 1.18.25
2018-07-27 10:01:07 status unpacked dpkg:armhf 1.18.25
2018-07-27 10:01:07 status unpacked dpkg:armhf 1.18.25
2018-07-27 10:01:07 install e2fslibs:armhf <none> 1.43.4-2
2018-07-27 10:01:07 status half-installed e2fslibs:armhf 1.43.4-2
2018-07-27 10:01:08 status unpacked e2fslibs:armhf 1.43.4-2
2018-07-27 10:01:08 status unpacked e2fslibs:armhf 1.43.4-2
2018-07-27 10:01:08 install e2fsprogs:armhf <none> 1.43.4-2
2018-07-27 10:01:08 status half-installed e2fsprogs:armhf 1.43.4-2
2018-07-27 10:01:10 status unpacked e2fsprogs:armhf 1.43.4-2
2018-07-27 10:01:10 status unpacked e2fsprogs:armhf 1.43.4-2
2018-07-27 10:01:10 install libcomerr2:armhf <none> 1.43.4-2
2018-07-27 10:01:10 status half-installed libcomerr2:armhf 1.43.4-2
2018-07-27 10:01:10 status unpacked libcomerr2:armhf 1.43.4-2
2018-07-27 10:01:10 status unpacked libcomerr2:armhf 1.43.4-2
2018-07-27 10:01:10 install libss2:armhf <none> 1.43.4-2
2018-07-27 10:01:10 status half-installed libss2:armhf 1.43.4-2
2018-07-27 10:01:11 status unpacked libss2:armhf 1.43.4-2
2018-07-27 10:01:11 status unpacked libss2:armhf 1.43.4-2
2018-07-27 10:01:11 install findutils:armhf <none> 4.6.0+git+20161106-2
2018-07-27 10:01:11 status half-installed findutils:armhf 4.6.0+git+20161106-2
2018-07-27 10:01:12 status unpacked findutils:armhf 4.6.0+git+20161106-2
2018-07-27 10:01:12 status unpacked findutils:armhf 4.6.0+git+20161106-2
2018-07-27 10:01:12 install gcc-6-base:armhf <none> 6.3.0-18+deb9u1
2018-07-27 10:01:12 status half-installed gcc-6-base:armhf 6.3.0-18+deb9u1
2018-07-27 10:01:13 status unpacked gcc-6-base:armhf 6.3.0-18+deb9u1
2018-07-27 10:01:13 status unpacked gcc-6-base:armhf 6.3.0-18+deb9u1
2018-07-27 10:01:13 install libgcc1:armhf <none> 1:6.3.0-18+deb9u1
2018-07-27 10:01:13 status half-installed libgcc1:armhf 1:6.3.0-18+deb9u1
2018-07-27 10:01:13 status unpacked libgcc1:armhf 1:6.3.0-18+deb9u1
2018-07-27 10:01:13 status unpacked libgcc1:armhf 1:6.3.0-18+deb9u1
2018-07-27 10:01:13 install libc-bin:armhf <none> 2.24-11+deb9u3
2018-07-27 10:01:13 status half-installed libc-bin:armhf 2.24-11+deb9u3
2018-07-27 10:01:15 status unpacked libc-bin:armhf 2.24-11+deb9u3
2018-07-27 10:01:15 status unpacked libc-bin:armhf 2.24-11+deb9u3
2018-07-27 10:01:15 upgrade libc6:armhf 2.24-11+deb9u3 2.24-11+deb9u3
2018-07-27 10:01:15 status half-configured libc6:armhf 2.24-11+deb9u3
2018-07-27 10:01:15 status unpacked libc6:armhf 2.24-11+deb9u3
2018-07-27 10:01:15 status half-installed libc6:armhf 2.24-11+deb9u3
2018-07-27 10:01:22 status half-installed libc6:armhf 2.24-11+deb9u3
2018-07-27 10:01:22 status unpacked libc6:armhf 2.24-11+deb9u3
2018-07-27 10:01:23 status unpacked libc6:armhf 2.24-11+deb9u3
2018-07-27 10:01:23 install multiarch-support:armhf <none> 2.24-11+deb9u3
2018-07-27 10:01:23 status half-installed multiarch-support:armhf 2.24-11+deb9u3
2018-07-27 10:01:23 status unpacked multiarch-support:armhf 2.24-11+deb9u3
2018-07-27 10:01:23 status unpacked multiarch-support:armhf 2.24-11+deb9u3
2018-07-27 10:01:23 install grep:armhf <none> 2.27-2
2018-07-27 10:01:23 status half-installed grep:armhf 2.27-2
2018-07-27 10:01:24 status unpacked grep:armhf 2.27-2
2018-07-27 10:01:24 status unpacked grep:armhf 2.27-2
2018-07-27 10:01:24 install gzip:armhf <none> 1.6-5+b1
2018-07-27 10:01:24 status half-installed gzip:armhf 1.6-5+b1
2018-07-27 10:01:25 status unpacked gzip:armhf 1.6-5+b1
2018-07-27 10:01:25 status unpacked gzip:armhf 1.6-5+b1
2018-07-27 10:01:25 install hostname:armhf <none> 3.18+b1
2018-07-27 10:01:25 status half-installed hostname:armhf 3.18+b1
2018-07-27 10:01:25 status unpacked hostname:armhf 3.18+b1
2018-07-27 10:01:25 status unpacked hostname:armhf 3.18+b1
2018-07-27 10:01:25 install init-system-helpers:all <none> 1.48
2018-07-27 10:01:25 status half-installed init-system-helpers:all 1.48
2018-07-27 10:01:25 status unpacked init-system-helpers:all 1.48
2018-07-27 10:01:25 status unpacked init-system-helpers:all 1.48
2018-07-27 10:01:26 install libcap-ng0:armhf <none> 0.7.7-3+b1
